AIS,MUNICIPIO,NATUREZA DO FATO,ARMA-UTILZADA,DATA,SEXO,IDADE,State,Country,LATITUTDE,LONGITUDE
AIS 18,Icapuí,HOMICIDIO DOLOSO,Arma de fogo,19/01/2020,Masculino,37,Ceará,Brazil,-4.7158474,-37.3535365
AIS 15,Itapiúna,HOMICIDIO DOLOSO,Arma de fogo,19/01/2020,Masculino,20,Ceará,Brazil,-4.5654191,-38.9211537
AIS 17,Cruz,HOMICIDIO DOLOSO,Arma de fogo,19/01/2020,Masculino,33,Ceará,Brazil,-2.918128,-40.175981
AIS 9,Fortaleza,HOMICIDIO DOLOSO,Arma branca,19/01/2020,Masculino,23,Ceará,Brazil,-3.7304512,-38.5217989
AIS 4,Fortaleza,HOMICIDIO DOLOSO,Arma branca,19/01/2020,Masculino,35,Ceará,Brazil,-3.7304512,-38.5217989
AIS 13,Aquiraz,HOMICIDIO DOLOSO,Arma de fogo,20/01/2020,Masculino,47,Ceará,Brazil,-3.9063117,-38.387504
AIS 13,Chorozinho,HOMICIDIO DOLOSO,Arma de fogo,20/01/2020,Masculino,34,Ceará,Brazil,-4.3010895,-38.4976923
AIS 9,Fortaleza,HOMICIDIO DOLOSO,Outros meios,20/01/2020,Masculino,37,Ceará,Brazil,-3.7304512,-38.5217989
AIS 12,Maranguape,HOMICIDIO DOLOSO,Outros meios,20/01/2020,Masculino,-,Ceará,Brazil,-3.8922967,-38.6835427
AIS 14,Sobral,HOMICIDIO DOLOSO,Arma branca,20/01/2020,Masculino,45,Ceará,Brazil,-3.6879135,-40.3456372
AIS 5,Fortaleza,HOMICIDIO DOLOSO,Outros meios,20/01/2020,Masculino,24,Ceará,Brazil,-3.7304512,-38.5217989
AIS 15,Canindé,HOMICIDIO DOLOSO,Arma de fogo,20/01/2020,Masculino,37,Ceará,Brazil,-4.3547946,-39.3108516
AIS 15,Palmácia,HOMICIDIO DOLOSO,Arma de fogo,20/01/2020,Masculino,32,Ceará,Brazil,-4.1478012,-38.8460317
AIS 19,Campos Sales,HOMICIDIO DOLOSO,Arma de fogo,20/01/2020,Masculino,19,Ceará,Brazil,-7.0750814,-40.3830178
